Designator,Mid X,Mid Y,Rotation,Layer
"+3,3V ON",151.725,-66.7875,90.0,top
"-3,3V ON",155.725,-66.6125,90.0,top
"-3,3V/GND/+5V",128.475,-66.7,180.0,top
C1,129.725,-72.75,180.0,top
C10,126.225,-72.25,180.0,top
C11,131.225,-81.25,270.0,top
C12,144.725,-82.25,0.0,top
C13,142.225,-80.25,270.0,top
C14,153.07,-80.25,90.0,top
C15,151.225,-83.25,0.0,top
C16,133.225,-67.025,270.0,top
C17,133.225,-63.25,90.0,top
C18,147.625,-66.775,270.0,top
C19,147.625,-63.05,90.0,top
C2,140.225,-79.75,270.0,top
C20,125.3625,-96.2,270.0,top
C21,121.6375,-96.7,180.0,top
C22,127.3625,-96.2,270.0,top
C23,121.6375,-93.7,180.0,top
C24,126.8625,-89.2,180.0,top
C25,129.3625,-96.2,270.0,top
C26,126.3625,-87.2,180.0,top
C27,131.3625,-96.2,270.0,top
C28,144.8625,-97.2,0.0,top
C29,142.3625,-95.2,270.0,top
C3,147.725,-82.75,90.0,top
C30,153.2075,-95.2,90.0,top
C31,151.3625,-98.2,0.0,top
C32,129.8625,-87.7,180.0,top
C33,140.3625,-94.7,270.0,top
C34,147.8625,-97.7,90.0,top
C35,125.39,-111.464124,270.0,top
C36,121.665,-111.964124,180.0,top
C37,127.39,-111.464124,270.0,top
C38,121.665,-108.964124,180.0,top
C39,126.89,-104.464124,180.0,top
C4,125.225,-81.25,270.0,top
C40,129.39,-111.464124,270.0,top
C41,126.39,-102.464124,180.0,top
C42,131.39,-111.464124,270.0,top
C43,144.89,-112.464124,0.0,top
C44,142.39,-110.464124,270.0,top
C45,153.235,-110.464124,90.0,top
C46,151.39,-113.464124,0.0,top
C47,129.89,-102.964124,180.0,top
C48,140.39,-109.964124,270.0,top
C49,147.89,-112.964124,90.0,top
C5,127.225,-81.25,270.0,top
C50,125.39,-127.25,270.0,top
C51,121.665,-127.75,180.0,top
C52,127.39,-127.25,270.0,top
C53,121.665,-124.75,180.0,top
C54,126.89,-120.25,180.0,top
C55,129.39,-127.25,270.0,top
C56,126.39,-118.25,180.0,top
