Designator,Footprint,Quantity,Value,LCSC Part #
"+3,3V ON",0603,1,"LED_+3,3",
"-3,3V ON",0603,1,"LED_-3,3",
"-3,3V/GND/+5V",JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,Conn_01x03,
"C1, C32, C47, C62",0603,4,330pF,
"C10, C11, C13, C15, C2, C22, C23, C26, C27, C29, C31, C33, C37, C38, C41, C42, C44, C46, C48, C5, C52, C53, C56, C57, C59, C61, C63, C7",0603,28,1nF,
"C12, C14, C28, C30, C43, C45, C58, C60",0603,8,10nF,
"C16, C18",0603,2,1uF,
"C17, C19, C20, C21, C24, C25, C35, C36, C39, C4, C40, C50, C51, C54, C55, C6, C8, C9",0603,18,100nF,
"C3, C34, C49, C64",0603,4,33pF,
"D1, D2, D3, D4",0603,4,RB751SM,
H1,MountingHole_3.2mm_M3_Pad,1,Pad_1,
H2,MountingHole_3.2mm_M3_Pad,1,Pad_2,
H3,MountingHole_3.2mm_M3_Pad,1,Pad_3,
H4,MountingHole_3.2mm_M3_Pad,1,Pad_4,
"PMT 1_2, PMT 2, PMT 3_2, PMT 4",SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,4,Conn_Coaxial,
PMT 1,0603,1,LED_PMT_1,
PMT 2_2,0603,1,LED_PMT_2,
PMT 3,0603,1,LED_PMT_3,
PMT 4_2,0603,1,LED_PMT_4,
"R1, R13, R25, R37",0603,4,100R,
"R10, R18, R22, R30, R34, R42, R46, R49, R50, R51, R52, R53, R54, R6",0603,14,1K,
"R11, R23, R35, R47",0603,4,"2,2K",
"R12, R24, R36, R48",0603,4,"6,8K",
"R14, R2, R26, R38",0603,4,510R,
"R15, R27, R3, R39",0603,4,22R,
"R16, R28, R4, R40",0603,4,33R,
"R17, R29, R41, R5",0603,4,51,
"R19, R31, R43, R7",0603,4,100K,
"R21, R33, R45, R9",0603,4,22K,
"RV1, RV2, RV3, RV4",Potentiometer_Bourns_3314J_Vertical,4,2K,
SCK/MISO/MOSI/CS/GND,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
TX/RX/GND,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
Teensy 4.1,Teensy41,1,Teensy4.1,
"U1, U11, U12, U15, U16, U2, U7, U8",TSOT-23-6,8,LTC6228xS6,
"U10, U13, U14, U17, U18, U3, U4, U9",Analog_Devices-ADCMP606BKSZ-RL-Level_C,8,ADCMP606BKSZ-RL,
U6,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
